dataset name,error,v-score,r-score
DI_1000000_200_lin-invlin2,10,25.96685083,15.12280246
DI_1000000_200_lin-invlin2,20,13.25966851,5.926875498
DI_1000000_200_lin-invlin3,5,7.471264368,9.467308639
DI_1000000_200_lin-invlin3,10,12.06896552,13.30682925
DI_1000000_200_lin-invlin3,20,8.045977011,8.354538032
DI_1000000_200_lin-invlin4,5,35.95505618,27.6016817
DI_1000000_200_lin-invlin4,10,19.66292135,11.77671972
DI_1000000_200_lin-invlin4,20,15.16853933,11.29738921
DI_1000000_200_lin-invlin5,5,22.72727273,22.10722924
DI_1000000_200_lin-invlin5,10,15.90909091,10.94043247
DI_1000000_200_lin-invlin5,20,13.06818182,6.335820518
DI_1000000_200_lin-invlin6,5,38.06818182,32.90466917
DI_1000000_200_lin-invlin6,10,23.29545455,20.18806222
DI_1000000_200_lin-invlin6,20,17.61363636,11.4969552
DI_1000000_200_lin-invlin7,5,16.85393258,15.77283272
DI_1000000_200_lin-invlin7,10,11.79775281,6.068036506
DI_1000000_200_lin-invlin7,20,10.6741573,7.319212526
DI_1000000_200_lin-invlin8,5,33.52272727,27.05507073
DI_1000000_200_lin-invlin8,10,26.70454545,16.99230168
DI_1000000_200_lin-invlin8,20,15.34090909,8.434286146
DI_1000000_200_lin-invlin9,5,2.89017341,4.162745132
DI_1000000_200_lin-invlin9,10,5.202312139,6.742179434
DI_1000000_200_lin-invlin9,20,9.248554913,7.907238827
DI_1000000_500_lin-invlin0,5,8,7.501210532
DI_1000000_500_lin-invlin0,10,5.333333333,4.530890087
DI_1000000_500_lin-invlin0,20,4.666666667,2.509734122
DI_1000000_500_lin-invlin1,5,10.83521445,8.846901385
DI_1000000_500_lin-invlin1,10,8.803611738,7.148065217
DI_1000000_500_lin-invlin1,20,6.546275395,3.191210217
DI_1000000_500_lin-invlin2,5,4.298642534,5.605871163
DI_1000000_500_lin-invlin2,10,4.524886878,4.256143763
DI_1000000_500_lin-invlin2,20,4.524886878,3.179774084
DI_1000000_500_lin-invlin3,5,8.928571429,7.78676062
DI_1000000_500_lin-invlin3,10,8.928571429,5.432156001
DI_1000000_500_lin-invlin3,20,4.017857143,2.370788349
DI_1000000_500_lin-invlin4,5,12.22222222,10.23353807
DI_1000000_500_lin-invlin4,10,9.111111111,6.179807168
DI_1000000_500_lin-invlin4,20,4.222222222,2.029147678
DI_1000000_500_lin-invlin5,5,10.88435374,8.684769338
DI_1000000_500_lin-invlin5,10,8.390022676,7.242263756
DI_1000000_500_lin-invlin5,20,5.89569161,3.913883854
DI_1000000_500_lin-invlin6,5,10.65759637,8.789725046
DI_1000000_500_lin-invlin6,10,6.12244898,4.470154989
DI_1000000_500_lin-invlin6,20,4.988662132,4.157289961
DI_1000000_500_lin-invlin7,5,10.26785714,9.302737484
DI_1000000_500_lin-invlin7,10,8.928571429,6.584280825
DI_1000000_500_lin-invlin7,20,6.25,3.580543657
DI_1000000_500_lin-invlin8,5,8.409090909,9.884466081
DI_1000000_500_lin-invlin8,10,6.363636364,5.226150216
DI_1000000_500_lin-invlin8,20,4.318181818,3.70891267
DI_1000000_500_lin-invlin9,5,9.172259508,8.355521888
DI_1000000_500_lin-invlin9,10,5.14541387,4.667502825
DI_1000000_500_lin-invlin9,20,3.355704698,2.404824817
DI_1000000_10_lin-randlin0,5,100,100
DI_1000000_10_lin-randlin0,10,100,100
DI_1000000_10_lin-randlin0,20,75,53.78121974
DI_1000000_10_lin-randlin1,5,100,100
DI_1000000_10_lin-randlin1,10,100,100
DI_1000000_10_lin-randlin1,20,77.77777778,52.81720526
DI_1000000_10_lin-randlin2,5,100,100
DI_1000000_10_lin-randlin2,10,100,100
DI_1000000_10_lin-randlin2,20,100,100
DI_1000000_10_lin-randlin3,5,100,100
DI_1000000_10_lin-randlin3,10,100,100
DI_1000000_10_lin-randlin3,20,75,46.96170169
DI_1000000_10_lin-randlin4,5,100,100
DI_1000000_10_lin-randlin4,10,100,100
DI_1000000_10_lin-randlin4,20,100,100
DI_1000000_10_lin-randlin5,5,100,100
DI_1000000_10_lin-randlin5,10,100,100
DI_1000000_10_lin-randlin5,20,100,100
DI_1000000_10_lin-randlin8,5,100,100
DI_1000000_10_lin-randlin8,10,100,100
DI_1000000_10_lin-randlin8,20,100,100
DI_1000000_50_lin-randlin0,5,60.46511628,72.84929311
DI_1000000_50_lin-randlin0,10,74.41860465,86.55922729
DI_1000000_50_lin-randlin0,20,41.86046512,53.75084414
DI_1000000_50_lin-randlin1,5,83.72093023,98.50145251
DI_1000000_50_lin-randlin1,10,79.06976744,91.76061725
DI_1000000_50_lin-randlin1,20,67.44186047,76.57495177
DI_1000000_50_lin-randlin2,5,95.55555556,99.99961407
DI_1000000_50_lin-randlin2,10,86.66666667,90.91771677
DI_1000000_50_lin-randlin2,20,62.22222222,56.56991434
DI_1000000_50_lin-randlin3,5,93.33333333,99.99966323
DI_1000000_50_lin-randlin3,10,91.11111111,95.70673669
DI_1000000_50_lin-randlin3,20,73.33333333,75.29613537
DI_1000000_50_lin-randlin4,5,86.66666667,96.03830136
DI_1000000_50_lin-randlin4,10,82.22222222,89.86960032
DI_1000000_50_lin-randlin4,20,42.22222222,38.30384108
DI_1000000_50_lin-randlin5,5,73.17073171,89.91570379
DI_1000000_50_lin-randlin5,10,75.6097561,91.91729766
DI_1000000_50_lin-randlin5,20,43.90243902,59.45413183
DI_1000000_50_lin-randlin6,5,93.02325581,99.99962116
DI_1000000_50_lin-randlin6,10,90.69767442,89.53111584
DI_1000000_50_lin-randlin6,20,69.76744186,75.6582466
DI_1000000_50_lin-randlin7,5,88.63636364,99.81529778
DI_1000000_50_lin-randlin7,10,52.27272727,58.43320578
DI_1000000_50_lin-randlin7,20,70.45454545,79.3916386
DI_1000000_50_lin-randlin8,5,88.0952381,98.95702227
DI_1000000_50_lin-randlin8,10,88.0952381,98.95702227
DI_1000000_50_lin-randlin8,20,66.66666667,74.36927784
DI_1000000_50_lin-randlin9,5,95.34883721,99.92097036
DI_1000000_50_lin-randlin9,10,90.69767442,93.99354942
DI_1000000_50_lin-randlin9,20,41.86046512,49.64655287
DI_1000000_100_lin-randlin0,5,93.18181818,93.43098269
DI_1000000_100_lin-randlin0,10,73.86363636,60.3954178
DI_1000000_100_lin-randlin0,20,64.77272727,45.46779885
DI_1000000_100_lin-randlin1,5,84.09090909,88.64938843
DI_1000000_100_lin-randlin1,10,73.86363636,75.51793963
DI_1000000_100_lin-randlin1,20,44.31818182,32.30564009
DI_1000000_100_lin-randlin2,5,92.04545455,96.97616617
DI_1000000_100_lin-randlin2,10,80.68181818,71.3129464
DI_1000000_100_lin-randlin2,20,60.22727273,39.45885224
DI_1000000_100_lin-randlin3,5,95.29411765,99.99920365
DI_1000000_100_lin-randlin3,10,78.82352941,73.2496222
DI_1000000_100_lin-randlin3,20,38.82352941,18.02368999
DI_1000000_100_lin-randlin4,5,79.7752809,96.19281885
DI_1000000_100_lin-randlin4,10,57.30337079,58.23409831
DI_1000000_100_lin-randlin4,20,38.20224719,30.76868586
DI_1000000_100_lin-randlin5,5,82.02247191,94.85888126
DI_1000000_100_lin-randlin5,10,66.29213483,75.67683605
DI_1000000_100_lin-randlin5,20,48.31460674,36.86484906
DI_1000000_100_lin-randlin6,5,83.33333333,77.62284841
DI_1000000_100_lin-randlin6,10,74.44444444,57.96233796
DI_1000000_100_lin-randlin6,20,50,34.54172309
DI_1000000_100_lin-randlin7,5,87.64044944,81.74945467
DI_1000000_100_lin-randlin7,10,82.02247191,72.00037675
