dataset name,error,v-score,r-score
DI_1000000_200_lin-invlin2,20,10.49723757,5.926639592
DI_1000000_200_lin-invlin3,5,31.03448276,23.4189823
DI_1000000_200_lin-invlin3,10,25.28735632,14.6844973
DI_1000000_200_lin-invlin3,20,12.64367816,10.14557501
DI_1000000_200_lin-invlin4,5,15.73033708,17.25106593
DI_1000000_200_lin-invlin4,10,12.92134831,13.82423686
DI_1000000_200_lin-invlin4,20,11.23595506,9.96181502
DI_1000000_200_lin-invlin5,5,21.59090909,22.01958957
DI_1000000_200_lin-invlin5,10,10.22727273,7.234229971
DI_1000000_200_lin-invlin5,20,9.090909091,6.2945912
DI_1000000_200_lin-invlin6,5,2.840909091,3.954651389
DI_1000000_200_lin-invlin6,10,7.386363636,7.913885332
DI_1000000_200_lin-invlin6,20,7.954545455,5.143478137
DI_1000000_200_lin-invlin7,5,10.6741573,10.90687653
DI_1000000_200_lin-invlin7,10,8.988764045,9.290948268
DI_1000000_200_lin-invlin7,20,7.865168539,6.897156565
DI_1000000_200_lin-invlin8,5,9.090909091,11.27062433
DI_1000000_200_lin-invlin8,10,8.522727273,7.812256152
DI_1000000_200_lin-invlin8,20,5.681818182,6.040874848
DI_1000000_200_lin-invlin9,5,12.71676301,14.33799464
DI_1000000_200_lin-invlin9,10,15.02890173,15.19703159
DI_1000000_200_lin-invlin9,20,6.936416185,5.276015359
DI_1000000_500_lin-invlin0,5,9.111111111,6.873314
DI_1000000_500_lin-invlin0,10,4.666666667,5.006598406
DI_1000000_500_lin-invlin0,20,4.888888889,2.432404176
DI_1000000_500_lin-invlin1,5,12.41534989,8.705949801
DI_1000000_500_lin-invlin1,10,9.93227991,8.674708447
DI_1000000_500_lin-invlin1,20,4.740406321,2.65618287
DI_1000000_500_lin-invlin2,5,6.334841629,7.20768241
DI_1000000_500_lin-invlin2,10,5.20361991,5.249581133
DI_1000000_500_lin-invlin2,20,3.167420814,2.832338844
DI_1000000_500_lin-invlin3,5,8.482142857,7.786779882
DI_1000000_500_lin-invlin3,10,6.026785714,5.43207948
DI_1000000_500_lin-invlin3,20,2.678571429,2.370137737
DI_1000000_500_lin-invlin4,5,8.888888889,8.762841163
DI_1000000_500_lin-invlin4,10,6.444444444,4.825767299
DI_1000000_500_lin-invlin4,20,3.111111111,1.318919923
DI_1000000_500_lin-invlin5,5,9.977324263,7.505597815
DI_1000000_500_lin-invlin5,10,7.029478458,6.364089324
DI_1000000_500_lin-invlin5,20,3.854875283,3.450112139
DI_1000000_500_lin-invlin6,5,12.92517007,10.6744974
DI_1000000_500_lin-invlin6,10,8.390022676,6.221306665
DI_1000000_500_lin-invlin6,20,6.349206349,4.740325378
DI_1000000_500_lin-invlin7,5,8.258928571,9.091970862
DI_1000000_500_lin-invlin7,10,4.241071429,3.81215109
DI_1000000_500_lin-invlin7,20,4.241071429,1.99970803
DI_1000000_500_lin-invlin8,5,10.68181818,9.608853407
DI_1000000_500_lin-invlin8,10,8.181818182,6.224750535
DI_1000000_500_lin-invlin8,20,5.227272727,3.132632901
DI_1000000_500_lin-invlin9,5,10.96196868,8.24274595
DI_1000000_500_lin-invlin9,10,8.277404922,6.136241643
DI_1000000_500_lin-invlin9,20,4.026845638,2.400192355
DI_1000000_10_lin-randlin0,5,100,100
DI_1000000_10_lin-randlin0,10,100,100
DI_1000000_10_lin-randlin0,20,75,53.78121974
DI_1000000_10_lin-randlin1,5,100,100
DI_1000000_10_lin-randlin1,10,100,100
DI_1000000_10_lin-randlin1,20,77.77777778,52.81720526
DI_1000000_10_lin-randlin2,5,100,100
DI_1000000_10_lin-randlin2,10,100,100
DI_1000000_10_lin-randlin2,20,100,100
DI_1000000_10_lin-randlin3,5,100,100
DI_1000000_10_lin-randlin3,10,100,100
DI_1000000_10_lin-randlin3,20,75,46.96170169
DI_1000000_10_lin-randlin4,5,100,100
DI_1000000_10_lin-randlin4,10,100,100
DI_1000000_10_lin-randlin4,20,100,100
DI_1000000_10_lin-randlin5,5,100,100
DI_1000000_10_lin-randlin5,10,100,100
DI_1000000_10_lin-randlin5,20,100,100
DI_1000000_10_lin-randlin8,5,100,100
DI_1000000_10_lin-randlin8,10,100,100
DI_1000000_10_lin-randlin8,20,100,100
DI_1000000_50_lin-randlin0,5,83.72093023,98.79840652
DI_1000000_50_lin-randlin0,10,72.09302326,86.43752296
DI_1000000_50_lin-randlin0,20,62.79069767,70.81581883
DI_1000000_50_lin-randlin1,5,72.09302326,95.24618165
DI_1000000_50_lin-randlin1,10,48.8372093,62.87438238
DI_1000000_50_lin-randlin1,20,60.46511628,75.90083568
DI_1000000_50_lin-randlin2,5,77.77777778,97.73294232
DI_1000000_50_lin-randlin2,10,71.11111111,88.80350829
DI_1000000_50_lin-randlin2,20,44.44444444,54.30324259
DI_1000000_50_lin-randlin3,5,95.55555556,99.99971433
DI_1000000_50_lin-randlin3,10,86.66666667,95.70650431
DI_1000000_50_lin-randlin3,20,68.88888889,75.29590299
DI_1000000_50_lin-randlin4,5,55.55555556,65.91465436
DI_1000000_50_lin-randlin4,10,55.55555556,62.6454507
DI_1000000_50_lin-randlin4,20,40,38.30353314
DI_1000000_50_lin-randlin5,5,85.36585366,98.9620451
DI_1000000_50_lin-randlin5,10,80.48780488,94.99261155
DI_1000000_50_lin-randlin5,20,41.46341463,59.1720624
DI_1000000_50_lin-randlin6,5,53.48837209,61.98137704
DI_1000000_50_lin-randlin6,10,48.8372093,54.55545695
DI_1000000_50_lin-randlin6,20,46.51162791,60.449687
DI_1000000_50_lin-randlin7,5,97.72727273,99.99981968
DI_1000000_50_lin-randlin7,10,97.72727273,99.99981968
DI_1000000_50_lin-randlin7,20,79.54545455,79.5761605
DI_1000000_50_lin-randlin8,5,57.14285714,70.92355618
DI_1000000_50_lin-randlin8,10,57.14285714,70.86233835
DI_1000000_50_lin-randlin8,20,61.9047619,73.17215154
DI_1000000_50_lin-randlin9,5,93.02325581,99.99967525
DI_1000000_50_lin-randlin9,10,88.37209302,94.0722543
DI_1000000_50_lin-randlin9,20,58.13953488,56.96668436
DI_1000000_100_lin-randlin0,5,81.81818182,92.34598712
DI_1000000_100_lin-randlin0,10,61.36363636,59.31028242
DI_1000000_100_lin-randlin0,20,46.59090909,40.9650149
DI_1000000_100_lin-randlin1,5,78.40909091,87.75630888
DI_1000000_100_lin-randlin1,10,72.72727273,75.48083777
DI_1000000_100_lin-randlin1,20,43.18181818,32.26853822
DI_1000000_100_lin-randlin2,5,79.54545455,95.86528252
DI_1000000_100_lin-randlin2,10,62.5,66.76164341
DI_1000000_100_lin-randlin2,20,43.18181818,37.2339279
DI_1000000_100_lin-randlin3,5,87.05882353,98.96349045
DI_1000000_100_lin-randlin3,10,70.58823529,72.213909
DI_1000000_100_lin-randlin3,20,29.41176471,16.87573523
DI_1000000_100_lin-randlin4,5,91.01123596,99.98248543
DI_1000000_100_lin-randlin4,10,71.91011236,63.06815602
DI_1000000_100_lin-randlin4,20,39.3258427,30.76907124
DI_1000000_100_lin-randlin5,5,86.51685393,95.1789145
DI_1000000_100_lin-randlin5,10,82.02247191,78.91272533
DI_1000000_100_lin-randlin5,20,48.31460674,36.47782343
DI_1000000_100_lin-randlin6,5,81.11111111,77.5871641
DI_1000000_100_lin-randlin6,10,72.22222222,57.92665365
DI_1000000_100_lin-randlin6,20,45.55555556,34.50593957
DI_1000000_100_lin-randlin7,5,79.7752809,81.27548497
DI_1000000_100_lin-randlin7,10,77.52808989,71.96267428
DI_1000000_100_lin-randlin7,20,62.92134831,51.47997047
DI_1000000_100_lin-randlin8,5,75,89.15894545
DI_1000000_100_lin-randlin8,10,67.04545455,73.34880222
DI_1000000_100_lin-randlin8,20,53.40909091,45.31601302
DI_1000000_100_lin-randlin9,5,75.82417582,83.69866824
DI_1000000_100_lin-randlin9,10,67.03296703,70.19686777
DI_1000000_100_lin-randlin9,20,36.26373626,35.03661335
DI_1000000_200_lin-randlin0,5,84,89.7157003
DI_1000000_200_lin-randlin0,10,48.57142857,43.20561746
DI_1000000_200_lin-randlin0,20,20.57142857,17.82670613
DI_1000000_200_lin-randlin1,5,66.48044693,79.03126378
DI_1000000_200_lin-randlin1,10,45.81005587,46.44623646
DI_1000000_200_lin-randlin1,20,28.49162011,18.78348605
DI_1000000_200_lin-randlin2,5,55.17241379,73.19062242
DI_1000000_200_lin-randlin2,10,44.25287356,48.4833432
DI_1000000_200_lin-randlin2,20,19.54022989,17.88469304
DI_1000000_200_lin-randlin3,5,80.33707865,86.13952185
DI_1000000_200_lin-randlin3,10,60.11235955,56.59687017
DI_1000000_200_lin-randlin3,20,34.83146067,26.13922574
DI_1000000_200_lin-randlin4,5,78.91891892,83.05165188
DI_1000000_200_lin-randlin4,10,59.45945946,48.07648864
DI_1000000_200_lin-randlin4,20,28.10810811,12.95279182
DI_1000000_200_lin-randlin5,5,73.03370787,76.58056951
DI_1000000_200_lin-randlin5,10,51.12359551,43.14919345
DI_1000000_200_lin-randlin5,20,24.15730337,16.96138585
DI_1000000_200_lin-randlin6,5,72.98850575,78.26450545
DI_1000000_200_lin-randlin6,10,63.2183908,65.40023226
DI_1000000_200_lin-randlin6,20,29.31034483,25.05779451
DI_1000000_200_lin-randlin7,5,82.48587571,86.86454945
DI_1000000_200_lin-randlin7,10,58.75706215,56.26859269
DI_1000000_200_lin-randlin7,20,33.33333333,26.07771198
DI_1000000_200_lin-randlin8,5,79.23497268,90.64614202
DI_1000000_200_lin-randlin8,10,63.93442623,64.04916926
DI_1000000_200_lin-randlin8,20,31.69398907,20.74408246
DI_1000000_200_lin-randlin9,5,72,77.34386039
DI_1000000_200_lin-randlin9,10,48.57142857,45.91632163
DI_1000000_200_lin-randlin9,20,25.71428571,16.01277761
DI_1000000_500_lin-randlin0,5,55.05617978,60.94528145
DI_1000000_500_lin-randlin0,10,25.61797753,22.41382063
DI_1000000_500_lin-randlin0,20,9.887640449,7.774573707
DI_1000000_500_lin-randlin1,5,51.92743764,59.48694759
DI_1000000_500_lin-randlin1,10,26.07709751,23.23940081
DI_1000000_500_lin-randlin1,20,9.523809524,7.938106174
DI_1000000_500_lin-randlin2,5,53.89755011,53.95402851
DI_1000000_500_lin-randlin2,10,33.40757238,26.19107952
DI_1000000_500_lin-randlin2,20,14.4766147,7.384173022
DI_1000000_500_lin-randlin3,5,58.12917595,64.29708036
DI_1000000_500_lin-randlin3,10,28.28507795,21.04817509
DI_1000000_500_lin-randlin3,20,16.92650334,9.842157888
DI_1000000_500_lin-randlin4,5,49.88610478,61.86593045
DI_1000000_500_lin-randlin4,10,20.72892938,17.10682247
DI_1000000_500_lin-randlin4,20,10.25056948,6.994808966
DI_1000000_500_lin-randlin5,5,49.20993228,54.11021832
DI_1000000_500_lin-randlin5,10,27.53950339,25.23575008
DI_1000000_500_lin-randlin5,20,11.73814898,6.176163916
DI_1000000_500_lin-randlin6,5,53.44036697,58.69700018
DI_1000000_500_lin-randlin6,10,27.29357798,27.93905533
