rows_ciphs_distribution,v-score,r-score,num of good files
1000000_10_lin-lin,0.8305555555555555,0.6306143165856831,10
1000000_50_lin-lin,0.447302929628511,0.3225285914266779,10
1000000_100_lin-lin,0.21549370145616775,0.10695765143185035,10
1000000_200_lin-lin,0.12721407299305515,0.05617052292729191,10
1000000_500_lin-lin,0.05450249493229682,0.01634962915603427,10
1000000_10_lin-slin,0.7305555555555555,0.5986425021026085,10
1000000_50_lin-slin,0.40364376832020915,0.2508599290166343,10
1000000_100_lin-slin,0.20088572246750136,0.11435176539620935,10
1000000_200_lin-slin,0.09036482907750029,0.04539579502435813,10
1000000_500_lin-slin,0.03562983879882752,0.01415078684354617,10
1000000_10_lin-invlin,1.0,1.0,10
1000000_50_lin-invlin,0.9456184307198656,0.9645404733944215,10
1000000_100_lin-invlin,0.5165557257972988,0.5469784255980384,10
1000000_200_lin-invlin,0.29522262328198023,0.2968297524288975,10
1000000_500_lin-invlin,0.11407765519705612,0.10461931497539068,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_50_lin-randlin,0.8913507860388178,0.9085028354072746,10
1000000_100_lin-randlin,0.8038045906139099,0.7890924575761968,10
1000000_200_lin-randlin,0.6265252955756023,0.5416417796306757,10
1000000_500_lin-randlin,0.382722077581194,0.29547664623490233,10
1000000_10_lin-zipf,1.0,1.0,10
1000000_50_lin-zipf,0.6942818945212295,0.7008311667837179,10
1000000_100_lin-zipf,0.4286000254882585,0.4350817787670903,10
1000000_200_lin-zipf,0.22825419840692812,0.23122630578709336,10
1000000_500_lin-zipf,0.10784922011410861,0.10499755657250143,10
1000000_10_zipf-zipf,1.0,1.0,10
1000000_50_zipf-zipf,0.40351124240707537,0.9749541779144442,10
1000000_100_zipf-zipf,0.26268954475527956,0.959956759635366,10
1000000_200_zipf-zipf,0.14738655339057105,0.9616522794805917,10
1000000_500_zipf-zipf,0.07634733426464999,0.9674629357864288,10
1000000_10_zipf-randzipf,1.0,1.0,10
1000000_50_zipf-randzipf,0.8984067048174357,0.9825278469411167,10
1000000_100_zipf-randzipf,0.7661867760112779,0.9638183451022589,10
1000000_200_zipf-randzipf,0.5746567570958231,0.9197768294390787,10
1000000_500_zipf-randzipf,0.39878703625375594,0.9341719981542905,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_50_zipf-invzipf,0.8651499855330208,0.9436043703667936,10
1000000_100_zipf-invzipf,0.5211242324920091,0.7752209123389454,10
1000000_200_zipf-invzipf,0.3085969652001177,0.6579206618343715,10
1000000_500_zipf-invzipf,0.12698126193736078,0.5023705966136246,10




1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_lin-zipf,1.0,1.0,10
1000000_10_zipf-zipf,1.0,1.0,10
1000000_10_zipf-randzipf,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_50_lin-invlin,0.9456184307198656,0.9645404733944215,10
1000000_50_zipf-randzipf,0.8984067048174357,0.9825278469411167,10
1000000_50_lin-randlin,0.8913507860388178,0.9085028354072746,10
1000000_50_zipf-invzipf,0.8651499855330208,0.9436043703667936,10
1000000_10_lin-lin,0.8305555555555555,0.6306143165856831,10
1000000_100_lin-randlin,0.8038045906139099,0.7890924575761968,10
1000000_100_zipf-randzipf,0.7661867760112779,0.9638183451022589,10
1000000_10_lin-slin,0.7305555555555555,0.5986425021026085,10
1000000_50_lin-zipf,0.6942818945212295,0.7008311667837179,10
1000000_200_lin-randlin,0.6265252955756023,0.5416417796306757,10
1000000_200_zipf-randzipf,0.5746567570958231,0.9197768294390787,10
1000000_100_zipf-invzipf,0.5211242324920091,0.7752209123389454,10
1000000_100_lin-invlin,0.5165557257972988,0.5469784255980384,10
1000000_50_lin-lin,0.447302929628511,0.3225285914266779,10
1000000_100_lin-zipf,0.4286000254882585,0.4350817787670903,10
1000000_50_lin-slin,0.40364376832020915,0.2508599290166343,10
1000000_50_zipf-zipf,0.40351124240707537,0.9749541779144442,10
1000000_500_zipf-randzipf,0.39878703625375594,0.9341719981542905,10
1000000_500_lin-randlin,0.382722077581194,0.29547664623490233,10
1000000_200_zipf-invzipf,0.3085969652001177,0.6579206618343715,10
1000000_200_lin-invlin,0.29522262328198023,0.2968297524288975,10
1000000_100_zipf-zipf,0.26268954475527956,0.959956759635366,10
1000000_200_lin-zipf,0.22825419840692812,0.23122630578709336,10
1000000_100_lin-lin,0.21549370145616775,0.10695765143185035,10
1000000_100_lin-slin,0.20088572246750136,0.11435176539620935,10
1000000_200_zipf-zipf,0.14738655339057105,0.9616522794805917,10
1000000_200_lin-lin,0.12721407299305515,0.05617052292729191,10
1000000_500_zipf-invzipf,0.12698126193736078,0.5023705966136246,10
1000000_500_lin-invlin,0.11407765519705612,0.10461931497539068,10
1000000_500_lin-zipf,0.10784922011410861,0.10499755657250143,10
1000000_200_lin-slin,0.09036482907750029,0.04539579502435813,10
1000000_500_zipf-zipf,0.07634733426464999,0.9674629357864288,10
1000000_500_lin-lin,0.05450249493229682,0.01634962915603427,10
1000000_500_lin-slin,0.03562983879882752,0.01415078684354617,10




1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_lin-zipf,1.0,1.0,10
1000000_10_zipf-zipf,1.0,1.0,10
1000000_10_zipf-randzipf,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_50_zipf-randzipf,0.8984067048174357,0.9825278469411167,10
1000000_50_zipf-zipf,0.40351124240707537,0.9749541779144442,10
1000000_500_zipf-zipf,0.07634733426464999,0.9674629357864288,10
1000000_50_lin-invlin,0.9456184307198656,0.9645404733944215,10
1000000_100_zipf-randzipf,0.7661867760112779,0.9638183451022589,10
1000000_200_zipf-zipf,0.14738655339057105,0.9616522794805917,10
1000000_100_zipf-zipf,0.26268954475527956,0.959956759635366,10
1000000_50_zipf-invzipf,0.8651499855330208,0.9436043703667936,10
1000000_500_zipf-randzipf,0.39878703625375594,0.9341719981542905,10
1000000_200_zipf-randzipf,0.5746567570958231,0.9197768294390787,10
1000000_50_lin-randlin,0.8913507860388178,0.9085028354072746,10
1000000_100_lin-randlin,0.8038045906139099,0.7890924575761968,10
1000000_100_zipf-invzipf,0.5211242324920091,0.7752209123389454,10
1000000_50_lin-zipf,0.6942818945212295,0.7008311667837179,10
1000000_200_zipf-invzipf,0.3085969652001177,0.6579206618343715,10
1000000_10_lin-lin,0.8305555555555555,0.6306143165856831,10
1000000_10_lin-slin,0.7305555555555555,0.5986425021026085,10
1000000_100_lin-invlin,0.5165557257972988,0.5469784255980384,10
1000000_200_lin-randlin,0.6265252955756023,0.5416417796306757,10
1000000_500_zipf-invzipf,0.12698126193736078,0.5023705966136246,10
1000000_100_lin-zipf,0.4286000254882585,0.4350817787670903,10
1000000_50_lin-lin,0.447302929628511,0.3225285914266779,10
1000000_200_lin-invlin,0.29522262328198023,0.2968297524288975,10
1000000_500_lin-randlin,0.382722077581194,0.29547664623490233,10
1000000_50_lin-slin,0.40364376832020915,0.2508599290166343,10
1000000_200_lin-zipf,0.22825419840692812,0.23122630578709336,10
1000000_100_lin-slin,0.20088572246750136,0.11435176539620935,10
