rows_ciphs_distr,v,r
10000_10_lin-lin,100.0,100.0
10000_50_lin-lin,39.8,27.203419779715443
10000_100_lin-lin,16.3,9.830295217873253
10000_10_lin-slin,100.0,100.0
10000_50_lin-slin,33.0,22.123773600270837
10000_100_lin-slin,11.1,8.630384261777442
10000_10_lin-invlin,100.0,100.0
10000_50_lin-invlin,53.4,48.910723663926944
10000_100_lin-invlin,17.8,14.67581028855849
10000_10_lin-randlin,100.0,100.0
10000_50_lin-randlin,92.4,86.72094153634444
10000_100_lin-randlin,59.4,46.752090516009595
10000_10_lin-zipf,100.0,100.0
10000_50_lin-zipf,44.8,45.041206102927745
10000_100_lin-zipf,21.6,21.471350802220336
10000_10_zipf-zipf,100.0,100.0
10000_50_zipf-zipf,38.2,96.73366310009648
10000_100_zipf-zipf,21.3,95.80408720621976
10000_10_zipf-randzipf,100.0,100.0
10000_50_zipf-randzipf,73.4,98.03892648637573
10000_100_zipf-randzipf,46.8,92.58286657644989
10000_10_zipf-invzipf,100.0,100.0
10000_50_zipf-invzipf,60.0,80.0967338163769
10000_100_zipf-invzipf,28.7,61.73571780821593
1000000_10_lin-lin,100.0,100.0
1000000_50_lin-lin,78.6,63.64990573073658
1000000_100_lin-lin,51.4,30.376300888269828
1000000_200_lin-lin,28.75,13.261378821468622
1000000_500_lin-lin,9.94,4.6763412488566285
1000000_10_lin-slin,100.0,100.0
1000000_50_lin-slin,67.4,51.957533969946425
1000000_100_lin-slin,41.4,24.01388331717957
1000000_200_lin-slin,21.1,11.414973643503913
1000000_500_lin-slin,6.580000000000001,3.8915814780247473
1000000_10_lin-invlin,100.0,100.0
1000000_50_lin-invlin,90.4,87.37363576765262
1000000_100_lin-invlin,61.7,52.38792405790716
1000000_200_lin-invlin,29.8,21.80623104116443
1000000_500_lin-invlin,11.019999999999998,7.9272421343972965
1000000_10_lin-randlin,100.0,100.0
1000000_50_lin-randlin,99.2,99.3160684691609
1000000_100_lin-randlin,94.1,88.03625698821891
1000000_200_lin-randlin,88.45,81.72510350876463
1000000_500_lin-randlin,65.50000000000001,51.18904735547791
1000000_10_lin-zipf,100.0,100.0
1000000_50_lin-zipf,71.8,71.79802349943947
1000000_100_lin-zipf,48.6,48.60165312756864
1000000_200_lin-zipf,25.15,25.203652275477044
1000000_500_lin-zipf,11.620000000000001,11.56129070055025
1000000_10_zipf-zipf,100.0,100.0
1000000_50_zipf-zipf,69.8,99.10823436504752
1000000_100_zipf-zipf,50.1,98.91888581110369
1000000_200_zipf-zipf,28.55,98.58743123903714
1000000_500_zipf-zipf,13.280000000000001,98.45981585066684
1000000_10_zipf-randzipf,100.0,100.0
1000000_50_zipf-randzipf,100.0,100.0
1000000_100_zipf-randzipf,95.6,99.26164286512535
1000000_200_zipf-randzipf,84.2,98.516057775892
1000000_500_zipf-randzipf,56.24000000000001,96.64818732171072
1000000_10_zipf-invzipf,100.0,100.0
1000000_50_zipf-invzipf,90.8,95.61739561461435
1000000_100_zipf-invzipf,65.9,84.72996231277708
1000000_200_zipf-invzipf,38.6,72.47820181534902
1000000_500_zipf-invzipf,19.54,62.31713014685012



