rows_ciphs_distr,v,r
10000_10_lin-lin,81.0,64.52977716968694
10000_50_lin-lin,24.4,14.175149895660411
10000_100_lin-lin,13.0,7.680100553760423
10000_10_lin-slin,81.0,71.70238311236639
10000_50_lin-slin,22.2,12.506151918648268
10000_100_lin-slin,8.2,5.534373395622966
10000_10_lin-invlin,96.0,94.53569497303977
10000_50_lin-invlin,30.2,23.096716497016434
10000_100_lin-invlin,12.1,9.021073732561996
10000_10_lin-randlin,98.0,97.33311350491509
10000_50_lin-randlin,66.6,51.22468779875165
10000_100_lin-randlin,36.8,22.170367562017212
10000_10_lin-zipf,87.0,87.13403999153304
10000_50_lin-zipf,29.0,29.371008906239023
10000_100_lin-zipf,12.6,12.650451254271326
10000_10_zipf-zipf,88.0,98.68761470027167
10000_50_zipf-zipf,28.2,94.577540514493
10000_100_zipf-zipf,13.2,91.51719328954289
10000_10_zipf-randzipf,90.0,97.8200150035722
10000_50_zipf-randzipf,64.4,96.59567455030692
10000_100_zipf-randzipf,38.6,89.30522718062662
10000_10_zipf-invzipf,98.0,98.85516700027986
10000_50_zipf-invzipf,37.2,64.7251437758826
10000_100_zipf-invzipf,20.9,53.930961754910165
1000000_10_lin-lin,86.0,75.91551015483569
1000000_50_lin-lin,35.6,15.131308316981622
1000000_100_lin-lin,19.4,8.915311576980208
1000000_200_lin-lin,12.1,3.9917913073220226
1000000_500_lin-lin,4.279999999999999,1.1195723485796163
1000000_10_lin-slin,78.0,70.03749089787046
1000000_50_lin-slin,28.0,13.959684222449875
1000000_100_lin-slin,15.4,5.244237874936761
1000000_200_lin-slin,6.7,3.4638732306710738
1000000_500_lin-slin,2.94,1.31870530397626
1000000_10_lin-invlin,90.0,87.43560168165394
1000000_50_lin-invlin,37.6,26.47792852642366
1000000_100_lin-invlin,20.4,13.22580550125764
1000000_200_lin-invlin,11.3,6.348098820916251
1000000_500_lin-invlin,4.2,2.4592575787035016
1000000_10_lin-randlin,83.0,69.19895557955708
1000000_50_lin-randlin,66.4,59.86949304085689
1000000_100_lin-randlin,52.4,34.07127585873282
1000000_200_lin-randlin,33.15,15.551837329341087
1000000_500_lin-randlin,17.360000000000003,7.735731805771039
1000000_10_lin-zipf,78.0,78.00549005468284
1000000_50_lin-zipf,28.4,28.415345491011816
1000000_100_lin-zipf,17.8,17.84028537002172
1000000_200_lin-zipf,10.65,10.742005303570854
1000000_500_lin-zipf,4.46,4.490654089947732
1000000_10_zipf-zipf,88.0,98.26461862697809
1000000_50_zipf-zipf,33.8,94.11234692992443
1000000_100_zipf-zipf,20.7,94.41564441709154
1000000_200_zipf-zipf,11.0,94.18175283004882
1000000_500_zipf-zipf,5.1,93.65767077612583
1000000_10_zipf-randzipf,100.0,100.0
1000000_50_zipf-randzipf,72.6,91.68379121411643
1000000_100_zipf-randzipf,51.7,86.49887352735254
1000000_200_zipf-randzipf,33.65,85.29966503541945
1000000_500_zipf-randzipf,18.9,85.46626084532646
1000000_10_zipf-invzipf,96.0,97.25144972597519
1000000_50_zipf-invzipf,43.2,66.53160692755787
1000000_100_zipf-invzipf,24.5,56.985000509185774
1000000_200_zipf-invzipf,13.35,47.18536855762271
1000000_500_zipf-invzipf,6.1,38.94646219372297



