experiment,v-score,r-score
1,0.000238628,0.084625
2,4.89E-05,0.018958
3,1,1
4,0.166666667,0.123452978
5,0.344086022,0.317644
6,1,1
7,0.769230769,0.758404
8,1,1
9,1,1
10,0.036697248,0.256421
11,0.769230769,0.979172
12,0.00197119,0.223394
13,0.222222222,0.997042
14,0.6,0.999838
15,1,1
